"lag","cost","nu","gamma","corr_pred"
3,64,0.6,0.25,0.614684641263725
4,64,0.6,0.25,0.614684641263725
5,64,0.6,0.25,0.614684641263725
1,2048,0.7,0.0625,0.614583836706459
2,2048,0.7,0.0625,0.614583836706459
3,2048,0.7,0.0625,0.614583836706459
4,2048,0.7,0.0625,0.614583836706459
5,2048,0.7,0.0625,0.614583836706459
1,4096,0.3,0.0625,0.614160634799169
2,4096,0.3,0.0625,0.614160634799169
3,4096,0.3,0.0625,0.614160634799169
4,4096,0.3,0.0625,0.614160634799169
5,4096,0.3,0.0625,0.614160634799169
1,1024,0.9,0.125,0.613859927744744
2,1024,0.9,0.125,0.613859927744744
3,1024,0.9,0.125,0.613859927744744
4,1024,0.9,0.125,0.613859927744744
5,1024,0.9,0.125,0.613859927744744
1,8,0.3,0.125,0.61269564252113
2,8,0.3,0.125,0.61269564252113
3,8,0.3,0.125,0.61269564252113
4,8,0.3,0.125,0.61269564252113
5,8,0.3,0.125,0.61269564252113
1,128,0.8,0.25,0.612575699751088
2,128,0.8,0.25,0.612575699751088
3,128,0.8,0.25,0.612575699751088
4,128,0.8,0.25,0.612575699751088
5,128,0.8,0.25,0.612575699751088
1,4,0.6,0.25,0.612569268776857
2,4,0.6,0.25,0.612569268776857
3,4,0.6,0.25,0.612569268776857
4,4,0.6,0.25,0.612569268776857
5,4,0.6,0.25,0.612569268776857
1,512,0.4,0.0625,0.612518740082326
2,512,0.4,0.0625,0.612518740082326
3,512,0.4,0.0625,0.612518740082326
4,512,0.4,0.0625,0.612518740082326
5,512,0.4,0.0625,0.612518740082326
1,32,0.3,0.0625,0.612397488389695
2,32,0.3,0.0625,0.612397488389695
3,32,0.3,0.0625,0.612397488389695
4,32,0.3,0.0625,0.612397488389695
5,32,0.3,0.0625,0.612397488389695
1,64,0.3,0.0625,0.612358741516672
2,64,0.3,0.0625,0.612358741516672
3,64,0.3,0.0625,0.612358741516672
4,64,0.3,0.0625,0.612358741516672
5,64,0.3,0.0625,0.612358741516672
1,256,0.4,0.0625,0.611981258936724
2,256,0.4,0.0625,0.611981258936724
3,256,0.4,0.0625,0.611981258936724
4,256,0.4,0.0625,0.611981258936724
5,256,0.4,0.0625,0.611981258936724
1,128,0.3,0.125,0.611879763314549
2,128,0.3,0.125,0.611879763314549
3,128,0.3,0.125,0.611879763314549
4,128,0.3,0.125,0.611879763314549
5,128,0.3,0.125,0.611879763314549
1,32,0.6,0.25,0.611868454445744
2,32,0.6,0.25,0.611868454445744
3,32,0.6,0.25,0.611868454445744
4,32,0.6,0.25,0.611868454445744
5,32,0.6,0.25,0.611868454445744
1,16,0.6,0.25,0.611629502706625
